Reaction,Impact
EX_Caprolactone,128.439999999997
Caprolactonetc,128.439999999997
Lact,128.439999999997
ADH,128.439999999997
AldDH,128.439999999997
Adipatetc,128.439999999997
EX_Adipate,128.439999999997
ATPS4rpp,89.9999999999817
CO2tex,68.4400000000012
CO2tpp,68.4400000000012
EX_co2(e),68.4400000000012
AKGDa,66.829230769227
AKGDbr,66.829230769227
ICDHyr,66.8292307692267
ICL,66.8292307692218
H2Otex,56.3811111111059
EX_h2o(e),56.3811111111059
GAPD,51.2249999999975
PGK,51.2249999999975
ENO,51.2249999999896
PGM,51.2249999999896
PYK,51.2249999999894
H2Otpp,48.9142372881315
GLXCL,42.9700000000004
ALCD19,42.9699999999981
GLYALDDr,42.9699999999946
PDHcr,38.4399999999968
G3PD2,36.2250000000011
GLYK,36.2249999999963
TPI,36.2249999999941
NADH16pp,30.0000000000165
EX_glc(e),14.9999999999938
GLCtex,14.9999999999938
