Reaction,Flux
PIuabcpp,1.47726985413994
PItex,1.47726985413994
EX_pi(e),1.47726985413994
CS,1.47726985413978
ACONT,1.47726985413976
ICDHy,1.47726985413976
GLNS,1.47726985413976
PPA,1.47726985413976
PRUK,1.47726985413976
NAR_syn,1.47726985413976
NO3abcpp,1.47726985413976
NO3tex,1.47726985413976
EX_no3(e),1.47726985413976
NOR_syn,1.47726985413976
ADK1,1.47726985413976
ACCOACr,1.47726985413976
MCOATA,1.47726985413976
ALAD_syn,1.47726985413976
SPT_syn2,1.47726985413976
PGLYCP,1.47726985413976
RBCh,1.47726985413976
ARGSL,1.47726985413976
ARGSS,1.47726985413976
GLYCL,1.47726985413976
Ec_biomass_SynMixo,1.47726985413976
ASADi,1.47726985413976
ASPKi,1.47726985413976
ACLS,1.47726985413976
KARA1i,1.47726985413976
DHAD1,1.47726985413976
HSDx,1.47726985413976
HSK,1.47726985413976
THRS,1.47726985413976
IPPMIa,1.47726985413976
IPPS,1.47726985413976
OMCDC,1.47726985413976
IPPMIb,1.47726985413976
IPMD,1.47726985413976
ORNTACr,1.47726985413975
ACGK,1.47726985413975
ACOTA,1.47726985413975
HEX1,1.47726985413975
GLCt2pp,1.47726985413975
GLCtex,1.47726985413975
EX_glc(e),1.47726985413975
PPC,1.47726985413973
ASPTA,1.47726985413971
PRPPS,1.47726985413963
EX_Cyclohexane,0.825029881227225
Cyclohexanetc,0.825029881227225
Cyp,0.825029881227225
CDH,0.825029881227225
CHMO,0.825029881227225
Caprolactonetc,0.825029881227225
EX_Caprolactone,0.825029881227225
O2tc,0.686903046423376
O2tex,0.686485575493479
EX_o2(e),0.686485575493479
H2Otpp,0.517597286428937
H2Otex,0.517241557561991
EX_h2o(e),0.517241557561991
EX_h(e),0.485923833580439
Htex,0.485923833580439
TKT2,0.310474254167456
RPE,0.296923656724389
TKT1,0.28305462097791
RPI,0.222997635832416
RBPC,0.21459175010097
FUM,0.113827992178342
PGK,0.0781472397550682
GAPDi(nadp),0.0781472397546685
CBMK,4.16333634234434e-13
ARGD,3.34399175017097e-13
ME1,3.30624416733372e-13
PGI,2.95319324550292e-13
CYTK1,2.71338507218388e-13
ATPSu,2.65565347490337e-13
GLUDy,2.55573340268711e-13
TALA,2.55129251058861e-13
GLMS_syn,2.53130849614536e-13
H2Otu_syn,2.52242671194836e-13
O2tu,2.52242671194836e-13
LEUTA,2.38253861084559e-13
FNOR,2.24931184789057e-13
NDPK3,2.17603712826531e-13
FQR,1.70530256582424e-13
PDHa,1.66977542903624e-13
PDHbr,1.66977542903624e-13
PDHcr,1.66977542903624e-13
HCO3E,1.56763491077072e-13
MTHFC,1.55431223447522e-13
CBFC2,1.38333788868295e-13
CYO1b_syn,1.38333788868295e-13
MDH,1.14352971536391e-13
NDPK2,9.10382880192628e-14
MTHFD,6.77236045021345e-14
NTPP4,3.59712259978551e-14
PGM,7.32747196252603e-15
ENO,7.32747196252603e-15
GLYCTO_syn,-2.36255459640233e-13
